               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13338,            0.067179,            0.057254,                   0,                   0,                   0,                   0,             0.12966,              0.1226,            0.056772,                 0.1,                   0,                   0
                   1,            0.092515,            0.097296,            0.037367,                   0,                   0,                   0,                   0,             0.12902,             0.12721,            0.058502,            0.099095,           9.505e-05,           9.505e-05
                   2,             0.13805,            0.060942,            0.053835,                   0,                   0,                   0,                   0,             0.12907,             0.12688,             0.05853,             0.09818,           0.0001802,           0.0001802
                   3,              0.1343,            0.075138,            0.055636,                   0,                   0,                   0,                   0,             0.12909,             0.12656,             0.05842,            0.097255,          0.00025545,          0.00025545
                   4,             0.13224,             0.07333,            0.055738,                   0,                   0,                   0,                   0,             0.12912,             0.12623,            0.058337,            0.096321,           0.0003208,           0.0003208
                   5,             0.13012,              0.1045,            0.056917,                   0,                   0,                   0,                   0,             0.12914,             0.12596,             0.05831,            0.095376,          0.00037625,          0.00037625
                   6,             0.13352,            0.088121,            0.057551,                   0,                   0,                   0,                   0,             0.12919,             0.12536,            0.058218,            0.094422,           0.0004218,           0.0004218
                   7,             0.13497,            0.085398,            0.055774,                   0,                   0,                   0,                   0,             0.12916,             0.12524,            0.058191,            0.093457,          0.00045745,          0.00045745
                   8,             0.13007,            0.051616,            0.060548,                   0,                   0,                   0,                   0,             0.12916,             0.12524,            0.058191,            0.092483,           0.0004832,           0.0004832
                   9,             0.12638,            0.068797,            0.059627,                   0,                   0,                   0,                   0,             0.12926,             0.12431,            0.058008,            0.091499,          0.00049905,          0.00049905
                  10,             0.13437,            0.090681,            0.057068,                   0,                   0,                   0,                   0,             0.12926,             0.12431,            0.058008,            0.090505,            0.000505,            0.000505
                  11,             0.13199,            0.099594,            0.054682,                   0,                   0,                   0,                   0,             0.12956,              0.1222,            0.057971,            0.089501,          0.00050105,          0.00050105
                  12,              0.1376,             0.08479,            0.055963,                   0,                   0,                   0,                   0,             0.12956,              0.1222,            0.057971,            0.088487,           0.0004872,           0.0004872
                  13,             0.13047,            0.056149,            0.054879,                   0,                   0,                   0,                   0,             0.12967,             0.12073,            0.057907,            0.087463,          0.00046345,          0.00046345
                  14,             0.13292,             0.12918,            0.055733,                   0,                   0,                   0,                   0,             0.12967,             0.12073,            0.057907,             0.08643,           0.0004298,           0.0004298
                  15,             0.13536,             0.10644,            0.055654,                   0,                   0,                   0,                   0,             0.13001,             0.11877,             0.05787,            0.085386,          0.00038625,          0.00038625
                  16,             0.12766,            0.089881,             0.05894,                   0,                   0,                   0,                   0,             0.13001,             0.11877,             0.05787,            0.084333,           0.0003328,           0.0003328
                  17,             0.12881,            0.073597,            0.058178,                   0,                   0,                   0,                   0,             0.13007,             0.11828,            0.057761,            0.083269,          0.00026945,          0.00026945
                  18,             0.12954,            0.088554,            0.056552,                   0,                   0,                   0,                   0,             0.13007,             0.11828,            0.057761,            0.082196,           0.0001962,           0.0001962
                  19,             0.13799,             0.12771,            0.055556,                   0,                   0,                   0,                   0,             0.13052,             0.11546,            0.057706,            0.081113,          0.00011305,          0.00011305
